project,date,production
Ekofisk,2015-01-01,0.7390100000000001
Ekofisk,2015-02-01,0.61044
Ekofisk,2015-03-01,0.7357600000000001
Ekofisk,2015-04-01,0.72402
Ekofisk,2015-05-01,0.7896099999999999
Ekofisk,2015-06-01,0.71099
Ekofisk,2015-07-01,0.77654
Ekofisk,2015-08-01,0.78247
Ekofisk,2015-09-01,0.7466600000000001
Ekofisk,2015-10-01,0.78872
Ekofisk,2015-11-01,0.7917500000000001
Ekofisk,2015-12-01,0.79367
Ekofisk,2016-01-01,0.8001199999999999
Ekofisk,2016-02-01,0.72431
Ekofisk,2016-03-01,0.79488
Ekofisk,2016-04-01,0.7469
Ekofisk,2016-05-01,0.73944
Ekofisk,2016-06-01,0.1246099999999999
Ekofisk,2016-07-01,0.83346
Ekofisk,2016-08-01,0.83065
Ekofisk,2016-09-01,0.79105
Ekofisk,2016-10-01,0.79349
Ekofisk,2016-11-01,0.77113
Ekofisk,2016-12-01,0.78752
Ekofisk,2017-01-01,0.79484
Ekofisk,2017-02-01,0.7272500000000001
Ekofisk,2017-03-01,0.8037700000000001
Ekofisk,2017-04-01,0.76425
Ekofisk,2017-05-01,0.76637
Ekofisk,2017-06-01,0.76544
Ekofisk,2017-07-01,0.77599
Ekofisk,2017-08-01,0.77404
Ekofisk,2017-09-01,0.71783
Ekofisk,2017-10-01,0.73358
Ekofisk,2017-11-01,0.69786
Ekofisk,2017-12-01,0.69374
Ekofisk,2018-01-01,0.72387
Ekofisk,2018-02-01,0.63296
Ekofisk,2018-03-01,0.7315200000000001
Ekofisk,2018-04-01,0.7024
Ekofisk,2018-05-01,0.69809
Ekofisk,2018-06-01,0.66827
Ekofisk,2018-07-01,0.72605
Ekofisk,2018-08-01,0.73708
Ekofisk,2018-09-01,0.70763
Ekofisk,2018-10-01,0.70408
Ekofisk,2018-11-01,0.63548
Ekofisk,2018-12-01,0.7283
Ekofisk,2019-01-01,0.72134
Ekofisk,2019-02-01,0.64056
Ekofisk,2019-03-01,0.7031799999999999
Ekofisk,2019-04-01,0.71085
Ekofisk,2019-05-01,0.73281
Ekofisk,2019-06-01,0.0953
Ekofisk,2019-07-01,0.8242400000000001
Ekofisk,2019-08-01,0.7885
Ekofisk,2019-09-01,0.72476
Ekofisk,2019-10-01,0.7489199999999999
Ekofisk,2019-11-01,0.69223
Ekofisk,2019-12-01,0.62768
Ekofisk,2020-01-01,0.7133499999999999
Ekofisk,2020-02-01,0.6521
Ekofisk,2020-03-01,0.67565
Ekofisk,2020-04-01,0.62563
Ekofisk,2020-05-01,0.6393800000000001
Ekofisk,2020-06-01,0.54558
Ekofisk,2020-07-01,0.66849
Ekofisk,2020-08-01,0.63238
Ekofisk,2020-09-01,0.61876
Ekofisk,2020-10-01,0.62991
Ekofisk,2020-11-01,0.60315
Ekofisk,2020-12-01,0.63609
Ekofisk,2021-01-01,0.63054
Ekofisk,2021-02-01,0.56826
Ekofisk,2021-03-01,0.6352
Ekofisk,2021-04-01,0.56942
Ekofisk,2021-05-01,0.62397
Ekofisk,2021-06-01,0.63408
Ekofisk,2021-07-01,0.63644
Ekofisk,2021-08-01,0.63252
Ekofisk,2021-09-01,0.61983
Ekofisk,2021-10-01,0.64446
Ekofisk,2021-11-01,0.59879
Ekofisk,2021-12-01,0.61017
Ekofisk,2022-01-01,0.5807
Ekofisk,2022-02-01,0.51853
Ekofisk,2022-03-01,0.5626800000000001
Ekofisk,2022-04-01,0.54593
Ekofisk,2022-05-01,0.47366
Ekofisk,2022-06-01,0.15757
Ekofisk,2022-07-01,0.64375
Ekofisk,2022-08-01,0.62481
Ekofisk,2022-09-01,0.60309
Ekofisk,2022-10-01,0.6201
Ekofisk,2022-11-01,0.58286
Ekofisk,2022-12-01,0.59351
Ekofisk,2023-01-01,0.59134
Ekofisk,2023-02-01,0.52786
Ekofisk,2023-03-01,0.57338
Ekofisk,2023-04-01,0.54015
Ekofisk,2023-05-01,0.5244599999999999
Ekofisk,2023-06-01,0.5135799999999999
Ekofisk,2023-07-01,0.53762
Ekofisk,2023-08-01,0.49319
Ekofisk,2023-09-01,0.49683
Ekofisk,2023-10-01,0.5326
Ekofisk,2023-11-01,0.49478
Ekofisk,2023-12-01,0.49935
Ekofisk,2024-01-01,0.47829
Ekofisk,2024-02-01,0.4688799999999999
Ekofisk,2024-03-01,0.48523
Ekofisk,2024-04-01,0.46851
Ekofisk,2024-05-01,0.50694
Ekofisk,2024-06-01,0.45272
Ekofisk,2024-07-01,0.52108
Ekofisk,2024-08-01,0.4921299999999999
Ekofisk,2024-09-01,0.4865199999999999
Ekofisk,2024-10-01,0.50814
Ekofisk,2024-11-01,0.51018
Ekofisk,2024-12-01,0.51275
Ekofisk,2025-01-01,0.48539
Ekofisk,2025-02-01,0.43796539614583335
Ekofisk,2025-03-01,0.5010010618964661
Ekofisk,2025-04-01,0.47067051169933233
Ekofisk,2025-05-01,0.4803454365234362
Ekofisk,2025-06-01,0.29768202370916796
Ekofisk,2025-07-01,0.5252207980014181
Ekofisk,2025-08-01,0.5096444044157534
Ekofisk,2025-09-01,0.4821536109063095
Ekofisk,2025-10-01,0.5012638231838542
Ekofisk,2025-11-01,0.4686971296222751
Ekofisk,2025-12-01,0.47914730061866817
Ekofisk,2026-01-01,0.4753754385888326
Ekofisk,2026-02-01,0.40721399742240955
Ekofisk,2026-03-01,0.47024966317304234
Ekofisk,2026-04-01,0.4399191129759085
Ekofisk,2026-05-01,0.4495940378000124
Ekofisk,2026-06-01,0.26693062498574416
Ekofisk,2026-07-01,0.4944693992779943
Ekofisk,2026-08-01,0.4788930056923297
